               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016301,           0.0078204,            0.023837,             0.88809,             0.99568,             0.94556,             0.77475,            0.011986,           0.0033561,           0.0066974,             0.00307,             0.00307,             0.00307
                  37,            0.016004,           0.0076004,            0.023363,             0.88988,             0.98257,             0.95145,             0.78655,            0.011606,           0.0032442,           0.0068778,            0.002872,            0.002872,            0.002872
                  38,            0.015703,           0.0076355,            0.022926,             0.89387,             0.99301,             0.95534,             0.78601,            0.011806,           0.0033648,           0.0062051,            0.002674,            0.002674,            0.002674
                  39,             0.01551,            0.007551,             0.02268,             0.89656,             0.98199,             0.94461,             0.76576,            0.011438,           0.0031408,           0.0066531,            0.002476,            0.002476,            0.002476
                  40,            0.015151,           0.0074121,             0.02197,             0.88642,             0.98349,              0.9562,             0.79066,             0.01179,           0.0032539,           0.0059495,            0.002278,            0.002278,            0.002278
                  41,            0.014874,           0.0073961,            0.021905,             0.90682,             0.99646,             0.95737,             0.77259,            0.012138,           0.0033003,           0.0054499,             0.00208,             0.00208,             0.00208
                  42,            0.014706,           0.0073994,            0.020619,             0.90985,             0.99883,             0.95885,             0.78769,             0.01132,           0.0031558,           0.0052114,            0.001882,            0.001882,            0.001882
                  43,            0.014292,           0.0072422,            0.020983,             0.90609,             0.99002,             0.95939,              0.7887,            0.011863,           0.0033937,           0.0050983,            0.001684,            0.001684,            0.001684
                  44,            0.014191,           0.0073159,            0.020374,              0.9087,             0.99918,             0.96689,             0.79379,            0.011228,           0.0033481,           0.0047611,            0.001486,            0.001486,            0.001486
                  45,            0.013879,           0.0071525,            0.020111,             0.90687,             0.99724,              0.9626,             0.79455,            0.011305,           0.0035682,           0.0048596,            0.001288,            0.001288,            0.001288
                  46,            0.013621,           0.0071075,            0.019669,             0.91573,                   1,             0.96482,             0.77502,            0.011605,           0.0033919,           0.0042878,             0.00109,             0.00109,             0.00109
                  47,            0.013223,           0.0070985,            0.019653,             0.91909,                   1,             0.96487,             0.79528,            0.011046,           0.0033651,           0.0042722,            0.000892,            0.000892,            0.000892
                  48,            0.012978,           0.0070072,            0.018604,             0.91754,             0.99983,             0.96403,             0.79551,            0.010971,           0.0034234,           0.0041706,            0.000694,            0.000694,            0.000694
                  49,            0.012799,           0.0069606,            0.018741,             0.91862,             0.99948,             0.96815,             0.80996,            0.010796,           0.0033878,           0.0041954,            0.000496,            0.000496,            0.000496
